render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,144.887,6.90193046995245,1.0,82.796,0.625,221.821273803711,136.908996582031,25.6365394592285,123.895750045776,3215,872,0,189,2
2,1,126.108,7.92971104132965,1.0,82.796,0.625,221.816101074219,136.908996582031,25.6313934326172,123.91362953186,3222,873,0,190,4
3,3,31.019,32.23830555466,1.0,82.796,0.625,221.816497802734,136.908996582031,25.6317825317383,123.975461959839,3236,875,0,191,8
5,4,34.6800000000002,28.8350634371394,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.976610183716,3233,875,0,190,6
6,5,33.3333333333333,30.0,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.972410202026,3224,875,0,189,0
7,5,19.2146666666664,52.0435778224973,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.97377204895,3224,875,0,189,0
8,5,33.3333333333333,30.0,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.975271224976,3224,875,0,189,0
9,6,25.0,40.0,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.976633071899,3224,875,0,189,0
10,6,26.6666666666667,37.5,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.980787277222,3229,875,0,189,2
11,6,29.1186666666669,34.3422317871695,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.982332229614,3229,875,0,189,2
12,6,26.6666666666667,37.5,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.983694076538,3229,875,0,189,2
13,7,29.0423333333331,34.4324950933697,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.985055923462,3229,875,0,191,2
14,7,51.452,19.435590453238,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.986417770386,3229,875,0,191,2
15,8,34.707,28.812631457631,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,123.990358352661,3229,875,0,190,2
16,8,34.892,28.6598647254385,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,124.002660751343,3229,875,0,190,2
17,8,33.851,29.5412247791793,10.0,1195.275,0.096,221.816497802734,136.908996582031,25.6317825317383,124.004022598267,3229,875,0,190,2
18,9,52.741,18.9605809522004,10.0,1195.275,0.096,221.821380615234,136.908996582031,25.636604309082,124.263799667358,3286,883,0,193,13
19,9,69.9813333333336,14.2895248256678,10.0,1195.275,0.096,221.822021484375,136.908996582031,25.6371784210205,124.58210849762,3316,888,0,197,17
