render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,147.846666666666,6.76376426026969,7.0,416.364,0.106,223.535034179688,139.835998535156,27.6710529327393,127.546516418457,3385,982,0,202,2
2,2,102.155666666668,9.78898217426337,7.0,416.364,0.106,223.530059814453,139.835998535156,27.6661014556885,127.607177734375,3399,984,0,203,6
3,3,33.037,30.269092229924,7.0,416.364,0.106,223.530258178711,139.835998535156,27.666296005249,127.626132965088,3406,985,0,204,8
5,4,58.786,17.0108529241656,4.0,1313.509,0.109,223.530258178711,139.835998535156,27.666296005249,127.626571655273,3402,985,0,203,5
6,5,43.344,23.0712440014766,4.0,1313.509,0.109,223.530258178711,139.835998535156,27.666296005249,127.624271392822,3396,985,0,202,1
7,6,52.83,18.9286390308537,4.0,1313.509,0.109,223.530258178711,139.835998535156,27.666296005249,127.624443054199,3394,985,0,202,0
8,6,36.8253333333333,27.1552192331366,3.0,52.591,0.102,223.530258178711,139.835998535156,27.666296005249,127.628734588623,3399,985,0,202,2
9,6,27.503,36.3596698541977,3.0,52.591,0.102,223.530258178711,139.835998535156,27.666296005249,127.630096435547,3399,985,0,202,2
10,7,35.496,28.1721884155961,3.0,52.591,0.102,223.530258178711,139.835998535156,27.666296005249,127.631458282471,3399,985,0,204,2
11,7,33.416,29.9257840555423,3.0,52.591,0.102,223.530258178711,139.835998535156,27.666296005249,127.633003234863,3399,985,0,204,2
12,7,27.719,36.0763375302139,3.0,52.591,0.102,223.530258178711,139.835998535156,27.666296005249,127.634365081787,3399,985,0,204,2
13,8,29.667,33.7074864327367,3.0,52.591,0.102,223.530258178711,139.835998535156,27.666296005249,127.640800476074,3404,985,0,205,4
14,8,27.622,36.2030265730215,3.0,52.591,0.102,223.530258178711,139.835998535156,27.666296005249,127.642162322998,3404,985,0,205,4
15,8,33.3333333333333,30.0,3.0,52.591,0.102,223.530258178711,139.835998535156,27.666296005249,127.643798828125,3404,985,0,205,4
16,9,139.206333333333,7.18358120679375,3.0,52.591,0.102,223.535736083984,139.835998535156,27.6717014312744,128.19361114502,3474,998,0,213,14
17,10,138.653666666666,7.21221460665788,3.0,52.591,0.102,223.840179443359,140.093811035156,27.7175998687744,130.066948890686,3973,1070,0,261,82
18,11,107.540666666668,9.29880789282806,3.0,52.591,0.102,224.104751586914,140.351623535156,27.7243518829346,129.239366531372,3813,960,0,250,74
19,12,63.827,15.6673508076519,3.0,52.591,0.102,223.127029418945,140.351623535156,26.7482051849365,128.826474189758,3703,922,0,236,58
20,13,64.868,15.4159215637911,3.0,52.591,0.102,222.806900024414,140.351623535156,26.428560256958,128.735981941223,3594,895,0,228,46
21,14,63.7643333333324,15.6827484539426,3.0,52.591,0.102,223.806304931641,141.367248535156,26.4123363494873,129.136872291565,3732,941,0,258,53
22,14,51.7560000000009,19.3214313316327,3.0,52.591,0.102,223.806884765625,141.367248535156,26.4129085540771,129.109559059143,3726,931,0,240,52
23,15,53.149,18.8150294455211,3.0,52.591,0.102,224.819534301758,142.382873535156,26.4099292755127,128.721672058105,3668,902,0,245,37
24,15,40.941,24.4253926381867,3.0,52.591,0.102,224.495529174805,142.382873535156,26.0863742828369,128.61364364624,3605,892,0,234,31
25,16,35.925,27.8357689631176,17.0,162.621,0.162,224.494934082031,142.382873535156,26.0857944488525,128.592334747314,3593,891,0,215,28
26,16,39.258,25.4725151561465,17.0,162.621,0.162,224.494735717773,142.382873535156,26.085599899292,128.559585571289,3582,879,0,218,25
27,17,41.6666666666667,24.0,17.0,162.621,0.162,224.75146484375,142.640686035156,26.0846538543701,128.778526306152,3593,873,0,218,29
28,17,33.5863333333333,29.7740152244464,17.0,162.621,0.162,224.749053955078,142.640686035156,26.0823230743408,128.749172210693,3575,860,0,210,27
29,17,37.031,27.0044017174799,17.0,162.621,0.162,224.745956420898,142.640686035156,26.0792293548584,128.761417388916,3562,866,0,211,22
30,18,38.8888888888889,25.7142857142857,17.0,162.621,0.162,224.753112792969,142.640686035156,26.0863590240479,128.707164764404,3530,847,0,203,26
31,18,38.8888888888889,25.7142857142857,17.0,162.621,0.162,224.748260498047,142.640686035156,26.081563949585,128.692222595215,3509,846,0,199,20
32,18,38.3333333333333,26.0869565217391,17.0,162.621,0.162,224.748260498047,142.640686035156,26.081563949585,128.744285583496,3543,849,0,197,24
33,19,38.3333333333333,26.0869565217391,17.0,162.621,0.162,224.75407409668,142.640686035156,26.0873050689697,128.805912017822,3543,848,0,201,27
34,19,38.8888888888889,25.7142857142857,17.0,162.621,0.162,224.752090454102,142.640686035156,26.0853939056396,128.822444915771,3567,848,0,199,32
35,20,38.3333333333333,26.0869565217391,17.0,162.621,0.162,224.752090454102,142.640686035156,26.0853939056396,128.403475761414,3495,813,0,184,23
36,20,36.7143333333333,27.2373187583414,17.0,162.621,0.162,224.427825927734,142.640686035156,25.7615833282471,128.382636070251,3461,813,0,180,16
37,20,38.3333333333333,26.0869565217391,17.0,162.621,0.162,225.443649291992,143.656311035156,25.7617778778076,128.367617607117,3427,810,0,181,12
38,21,38.8888888888889,25.7142857142857,17.0,162.621,0.162,224.434906005859,142.640686035156,25.7686367034912,128.329497337341,3423,797,0,178,15
39,21,38.8888888888889,25.7142857142857,17.0,162.621,0.162,224.430694580078,142.640686035156,25.7644519805908,128.326041221619,3419,797,0,180,14
40,22,45.9672222222222,21.7546319237138,17.0,162.621,0.162,224.445343017578,142.640686035156,25.7789173126221,128.633612632751,3537,819,0,193,29
41,22,39.3939393939394,25.3846153846154,17.0,162.621,0.162,224.442001342773,142.640686035156,25.7755794525146,128.631655693054,3562,822,0,197,37
42,22,39.3939393939394,25.3846153846154,17.0,162.621,0.162,224.437118530273,142.640686035156,25.7707576751709,128.58288860321,3552,816,0,191,33
43,23,45.9091212121212,21.7821638401559,17.0,162.621,0.162,223.42121887207,141.625061035156,25.770486831665,128.197195053101,3494,784,0,191,28
44,23,40.0,25.0,17.0,162.621,0.162,223.096954345703,141.625061035156,25.4466762542725,128.133985519409,3454,779,0,189,21
45,24,38.1973333333324,26.1798380340693,17.0,162.621,0.162,223.097732543945,141.625061035156,25.4474201202393,128.177034378052,3469,787,0,192,21
46,24,50.0,20.0,17.0,162.621,0.162,223.097579956055,141.625061035156,25.4472713470459,128.174047470093,3474,785,0,195,22
47,24,36.6143333333343,27.3117085294459,17.0,162.621,0.162,223.097579956055,141.625061035156,25.4472713470459,128.100740432739,3438,778,0,192,16
48,25,53.4073333333333,18.7240204216649,17.0,162.621,0.162,224.115829467773,142.640686035156,25.4499263763428,128.124662399292,3454,765,0,188,26
49,25,47.332,21.1273557001606,17.0,162.621,0.162,225.119613647461,143.656311035156,25.4381656646729,128.054235458374,3431,760,0,184,27
50,26,59.93,16.6861338227933,25.0,69.86,0.149,226.136001586914,144.671936035156,25.43874168396,128.411748886108,3662,817,0,210,58
51,26,47.922,20.8672426025625,25.0,69.86,0.149,226.136001586914,144.671936035156,25.43874168396,128.405721664429,3675,809,0,209,60
52,27,47.2222222222222,21.1764705882353,25.0,69.86,0.149,227.151901245117,145.687561035156,25.4390125274658,128.001461982727,3606,778,0,208,43
53,27,40.9054444444435,24.4466235138496,25.0,69.86,0.149,226.827743530273,145.687561035156,25.1153087615967,127.999924659729,3594,775,0,209,41
54,28,47.2222222222222,21.1764705882353,25.0,69.86,0.149,226.828018188477,145.687561035156,25.1155796051025,127.989712715149,3614,775,0,217,44
55,28,46.6666666666667,21.4285714285714,25.0,69.86,0.149,226.828018188477,145.687561035156,25.1155796051025,128.076962471008,3688,789,0,221,54
56,29,46.6666666666667,21.4285714285714,25.0,69.86,0.149,226.84033203125,145.687561035156,25.1278018951416,128.078988075256,3705,770,0,213,62
57,29,46.6666666666667,21.4285714285714,25.0,69.86,0.149,226.829849243164,145.687561035156,25.1174602508545,128.078991889954,3692,764,0,202,58
58,30,46.1111111111111,21.6867469879518,25.0,69.86,0.149,226.830123901367,145.687561035156,25.1177310943604,127.969449043274,3601,755,0,194,40
59,30,40.2736666666676,24.8301205916184,25.0,69.86,0.149,226.829452514648,145.687561035156,25.1170711517334,127.91112613678,3513,751,0,192,30
60,31,37.5,26.6666666666667,25.0,69.86,0.149,226.829727172852,145.687561035156,25.1173419952393,126.838508605957,3455,719,0,184,31
61,31,36.6666666666667,27.2727272727273,25.0,69.86,0.149,224.949462890625,145.353332519531,23.5722560882568,126.828826904297,3444,721,0,183,27
62,31,36.6666666666667,27.2727272727273,25.0,69.86,0.149,224.949462890625,145.353332519531,23.5722560882568,126.813678741455,3446,717,0,181,28
63,32,43.583,22.9447261546933,25.0,69.86,0.149,229.012268066406,149.415832519531,23.5725765228271,126.8977394104,3494,726,0,181,36
64,32,38.273,26.128079847412,25.0,69.86,0.149,229.009552001953,149.415832519531,23.5698947906494,126.870590209961,3486,720,0,174,36
65,32,38.224,26.1615738802846,25.0,69.86,0.149,229.007064819336,149.415832519531,23.5674610137939,126.822528839111,3453,713,0,164,29
66,33,43.164,23.1674543601149,25.0,69.86,0.149,227.99577331543,148.400207519531,23.571741104126,126.880207061768,3437,719,0,168,25
68,35,56.6350000000008,17.6569259291955,18.0,1166.453,0.161,227.997940063477,148.400207519531,23.5738430023193,126.857662200928,3457,708,0,164,35
69,35,47.156,21.2062091780473,1.0,46.87,0.108,226.979415893555,147.384582519531,23.5710620880127,126.85998916626,3424,711,0,163,25
70,36,46.2089999999993,21.6408059036122,1.0,46.87,0.108,226.980361938477,147.384582519531,23.5719928741455,126.851051330566,3412,708,0,168,19
71,36,35.685333333334,28.0227170826478,1.0,46.87,0.108,226.97981262207,147.384582519531,23.5714511871338,126.776226043701,3395,702,0,168,19
72,37,41.6666666666667,24.0,1.0,46.87,0.108,226.976943969727,147.384582519531,23.5686206817627,126.762771606445,3383,695,0,168,22
73,37,40.3613333333333,24.7761884311718,1.0,46.87,0.108,226.974075317383,147.384582519531,23.5657901763916,126.639541625977,3321,684,0,163,17
74,37,32.869,30.4238035839241,1.0,46.87,0.108,226.971038818359,147.384582519531,23.5627956390381,126.623439788818,3307,683,0,163,14
75,38,49.417666666666,20.2356781987551,1.0,46.87,0.108,227.992279052734,148.400207519531,23.5682163238525,126.901016235352,3474,729,0,194,36
76,38,41.6666666666667,24.0,1.0,46.87,0.108,227.989837646484,148.400207519531,23.5658054351807,126.838359832764,3452,713,0,178,37
77,39,41.6666666666667,24.0,1.0,46.87,0.108,229.013107299805,149.415832519531,23.5732021331787,127.182006835938,3558,738,0,191,39
78,39,41.6666666666667,24.0,1.0,46.87,0.108,229.013610839844,149.415832519531,23.573694229126,127.238426208496,3578,745,0,202,40
79,39,41.6666666666667,24.0,1.0,46.87,0.108,229.014190673828,149.415832519531,23.5742626190186,127.29642868042,3629,750,0,207,50
80,40,41.6666666666667,24.0,1.0,46.87,0.108,229.015975952148,149.415832519531,23.5758991241455,127.395431518555,3732,764,0,215,64
81,40,41.6666666666667,24.0,1.0,46.87,0.108,229.016250610352,149.415832519531,23.5761699676514,127.312618255615,3767,768,0,214,70
82,41,41.6666666666667,24.0,1.0,46.87,0.108,229.014389038086,149.415832519531,23.5744800567627,127.2321434021,3718,749,0,217,64
83,41,41.6666666666667,24.0,1.0,46.87,0.108,229.011032104492,149.415832519531,23.5712413787842,127.206214904785,3704,742,0,213,62
84,42,40.9090909090909,24.4444444444444,1.0,46.87,0.108,229.011032104492,149.415832519531,23.5712413787842,127.14274597168,3671,734,0,204,58
85,42,40.9090909090909,24.4444444444444,1.0,46.87,0.108,229.008590698242,149.415832519531,23.5688304901123,127.058441162109,3589,729,0,201,49
